Sex,Age,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,2030 - 2031,2031 - 2032,2032 - 2033,2033 - 2034,2034 - 2035,2035 - 2036,2036 - 2037,2037 - 2038,2038 - 2039
1,53,441.1383601,398.1764151,388.8571993,379.0232996,369.8881554,360.8170633,352.3193082,343.8725338,335.4935228,327.5889227,319.5303106,311.8333268,304.4758186,297.2584209,289.9107474,283.3171587,276.1801871,269.4847118,262.8156167,256.8878796,250.6930442,244.6199029,239.0182555,233.1317443,227.3416187
1,54,485.5067992,438.1329657,427.6695404,417.4244643,407.3337616,397.9534445,388.0152744,379.1377899,370.221687,361.1535472,352.216698,343.8780277,335.8555198,327.7842987,319.8342723,312.0329137,304.7504447,297.3519745,290.3563941,283.5369956,276.5679238,270.1176471,263.2473028,257.2998181,251.0000784
1,55,534.0427506,482.1297303,470.7259953,459.7293866,448.9468307,437.8856942,427.7960424,417.4209255,407.4778221,398.1054745,388.5614152,379.0754923,370.1863662,361.1842676,352.6774114,344.0496262,336.0695316,328.1221107,320.2155,312.1079767,304.8432804,297.5134523,290.8042873,283.6156591,276.835964
1,56,586.8948754,529.9672623,517.5815447,505.367026,493.5461542,481.7437958,470.3428819,459.2862976,448.0228197,437.4317202,427.1656704,416.6840004,406.8756217,397.1873619,387.6657712,378.5109558,369.2273289,360.5553482,351.6732096,343.5164932,335.3322437,327.2839489,319.3147614,311.8664105,304.3565961
1,57,645.1519617,582.7001664,569.1445725,555.2579743,542.1475421,529.2017416,517.0096863,504.5473607,492.7030198,480.7670926,469.2809155,458.357758,447.1480487,436.5923126,426.0580555,416.2791728,406.0560498,396.4268051,386.8206349,377.5446669,368.6263382,359.5468811,350.8970932,342.7157498,334.7550148
1,58,707.3169402,639.5209676,624.3650796,609.9704683,595.5065873,581.3988009,567.468008,554.1396727,540.995579,528.1014344,515.4852253,503.2920818,491.4934266,479.3069322,467.781084,456.8119086,445.8669538,435.0667196,424.8757047,414.5875517,404.9231666,394.7052004,385.2318085,376.3794083,367.197208
1,59,773.5170472,699.9514151,684.2024026,667.8200336,652.283751,636.4554859,621.5579319,606.8249275,592.5365464,578.2284327,564.920861,550.9344887,538.0123495,525.3185085,512.5862711,500.5515639,488.4206093,476.7686931,465.4169677,454.179181,443.2041808,432.8825912,422.4229436,411.9941395,402.3810026
1,60,843.7176415,763.5933772,746.604772,729.40105,712.2878068,695.5761257,679.0985104,662.8556871,647.2665338,631.9821477,616.694495,602.2782803,587.7896467,573.8868023,560.2856107,546.530038,533.7399924,520.65307,508.5140078,496.364145,484.3271377,472.6526383,461.669299,450.153369,439.2897081
1,61,917.8399572,830.5645463,812.3268658,794.2482401,776.0804297,757.6666788,739.9955974,722.3172419,705.1606145,688.4391003,672.3561296,656.2784272,640.7155857,625.4783638,610.5635171,596.030908,581.6830829,567.6578865,554.0467137,541.1871938,527.9880732,515.1416899,502.7522259,490.8245316,479.046803
1,62,996.8949175,901.878987,882.6919942,863.0083123,843.4854907,824.2990197,804.7803215,785.8171351,767.1188528,748.9870407,731.0719753,713.9150754,696.5522831,680.4853948,664.0183622,648.5130004,632.800832,617.6047445,602.7903359,588.3890758,574.0797961,560.5413256,546.8846733,533.7689622,521.4206895
1,63,1082.661341,978.6363534,957.0762271,936.221203,915.6296014,894.8703893,874.6012404,853.886175,833.5518919,814.031084,794.6045371,775.6690859,757.1526387,739.1426221,721.6269407,704.3629584,687.7818122,671.3345946,655.2683341,639.4346654,623.9706587,609.1550731,594.3387731,580.1481932,566.3047353
1,64,1177.755381,1063.672889,1039.306726,1016.102542,994.0731178,972.235537,950.0889818,928.0159483,906.2286873,884.6835882,863.9907595,843.3855517,823.3112722,803.8159485,784.3854086,766.0401116,747.4991756,729.7884166,712.6054828,695.6309924,678.5466294,662.4189453,646.4053951,631.0909775,615.9274791
1,65,1285.601042,1159.521569,1132.085692,1106.300445,1081.856721,1057.687039,1034.563347,1011.087163,987.5380773,964.1934472,941.2907509,919.0279681,897.2932981,875.6637152,855.0789436,834.5776233,814.8648727,795.2610645,776.3570315,757.9928162,739.3689194,721.7750355,704.4110223,687.4786907,671.0161264
1,66,1409.751251,1269.675749,1238.221022,1208.787199,1180.966899,1154.769136,1129.22018,1104.138641,1079.05054,1054.06549,1028.912523,1004.749458,981.0050995,957.6241275,934.4577967,912.6437139,890.6974859,869.7544969,848.6127858,828.2124454,808.6928546,789.3165705,770.0934489,751.6032258,733.5891779
1,67,1552.533487,1395.974621,1359.954543,1326.213356,1294.806932,1264.916356,1236.369385,1209.292201,1182.152295,1155.431997,1128.4387,1108.038561,1089.010697,1063.322488,1038.01492,1013.385823,989.2322718,965.226724,942.599095,919.5179217,897.9274977,876.5256666,855.3896483,834.8303662,814.8455269
1,68,1715.239756,1540.28481,1497.689631,1459.244994,1422.920333,1388.906194,1357.505375,1326.581951,1296.875598,1267.866828,1238.919942,1224.573589,1209.472211,1181.430242,1153.02853,1125.484477,1098.888841,1072.92401,1046.655832,1021.96127,997.1113624,973.5062482,950.1990037,927.4498385,905.0856784
1,69,1897.950301,1704.585685,1655.027879,1609.605356,1568.614594,1529.724594,1493.371565,1459.419306,1426.406764,1394.169835,1362.876853,1347.253249,1331.605133,1299.521451,1268.979016,1238.673542,1209.0217,1180.550857,1152.282415,1124.469846,1098.130617,1071.1245,1045.90981,1020.756105,996.3106815
1,70,2105.202757,1887.887624,1833.436605,1780.704423,1732.705786,1688.378134,1646.881949,1608.415816,1571.114367,1535.38663,1501.025926,1475.180258,1449.747268,1415.352719,1381.571278,1349.150447,1317.027025,1285.518846,1255.112364,1225.074062,1195.291174,1167.288817,1138.909406,1111.80249,1085.044349
1,71,2331.29642,2092.775582,2029.133684,1971.34909,1915.353394,1863.884691,1816.975372,1772.399793,1730.992552,1690.778606,1652.335188,1615.323886,1578.452886,1541.974339,1505.753736,1470.306299,1435.225097,1401.083685,1367.744642,1334.92014,1303.196751,1271.509748,1241.706962,1211.136439,1182.503357
1,72,2576.622519,2314.592149,2246.898372,2179.43673,2117.906171,2058.291152,2003.695303,1953.061301,1905.77145,1860.844374,1817.797293,1776.023197,1736.11674,1696.712274,1657.306101,1618.469414,1579.959097,1542.808719,1505.821576,1469.824326,1434.638465,1400.535191,1366.496658,1334.351115,1301.812954
1,73,2843.715887,2557.136414,2483.285212,2411.03896,2340.017538,2274.61277,2210.882943,2152.638923,2098.606364,2048.373457,1999.324781,1953.198427,1908.749543,1865.336922,1822.853798,1780.830651,1739.060772,1697.156646,1657.113292,1617.585592,1578.905689,1541.348522,1504.890311,1468.269585,1433.590052
1,74,3133.229671,2822.152111,2743.330554,2664.851387,2588.492355,2513.072632,2443.26893,2375.541309,2313.463686,2256.483228,2201.424253,2149.978655,2099.821648,2051.960891,2005.366901,1959.536794,1913.846114,1869.065154,1823.955237,1781.277971,1738.889306,1697.396918,1656.574858,1617.233679,1578.270959
1,75,3457.114479,3111.500454,3029.606743,2946.077065,2863.190798,2781.46872,2701.439075,2627.284079,2555.498156,2489.524396,2428.137833,2369.582551,2313.768859,2259.913124,2208.139232,2157.973971,2108.445622,2059.211842,2010.62609,1963.042993,1916.420037,1870.490703,1825.741117,1782.317612,1740.003123
1,76,3827.580719,3442.934358,3351.052642,3263.484291,3174.034469,3085.524353,2998.641751,2913.380733,2834.706434,2757.148562,2686.904737,2620.751663,2557.823417,2497.674845,2439.765006,2383.680387,2329.10099,2275.486659,2222.630698,2170.157967,2118.487923,2067.635485,2017.320824,1969.805503,1922.360046
1,77,4254.137736,3823.313077,3717.641636,3618.549515,3525.208127,3430.029113,3334.936257,3242.232319,3151.319441,3066.716711,2983.972251,2908.382623,2837.705761,2769.754441,2704.532083,2641.399058,2580.897095,2521.644925,2463.445275,2405.791554,2349.277433,2291.089797,2235.999593,2182.473337,2130.272798
1,78,4742.645656,4254.583741,4133.48006,4021.246434,3914.652777,3814.63896,3712.374418,3610.942894,3511.523025,3414.010191,3323.605707,3235.048985,3153.802188,3077.167504,3003.26547,2933.117048,2864.882237,2798.360017,2734.4783,2671.099519,2608.489866,2545.464454,2482.491471,2423.744316,2366.677382
1,79,5303.467787,4755.029633,4611.819557,4481.89459,4360.132299,4246.23129,4138.464297,4028.285113,3919.105985,3812.177193,3707.760037,3610.746749,3516.250719,3427.36024,3344.952406,3265.977263,3189.143408,3114.738608,3042.258895,2972.595501,2903.712647,2832.904325,2765.102547,2698.680391,2635.467415
1,80,5948.135358,5330.542259,5166.040589,5010.789337,4871.728137,4740.562641,4617.153164,4499.496063,4381.107535,4264.187928,4149.654864,4037.415141,3933.159328,3830.789406,3736.137143,3645.902549,3559.976312,3476.329721,3395.649198,3316.723486,3240.253666,3162.677223,3086.001832,3013.717823,2941.354141
1,81,6683.316823,5991.145314,5801.886946,5624.245031,5456.748718,5305.315902,5164.350634,5031.020934,4905.015395,4776.288308,4650.653228,4527.092166,4405.376733,4293.167432,4183.211504,4080.175467,3982.535194,3888.960747,3797.819739,3709.379395,3622.273074,3536.992351,3451.477386,3370.72815,3291.655326
1,82,7517.154294,6744.393681,6532.883175,6327.223822,6133.432465,5952.84313,5788.284373,5636.978579,5492.447501,5355.042327,5216.540592,5079.905398,4946.487644,4816.545079,4695.021992,4575.83172,4464.377608,4358.373662,4255.737173,4156.111188,4058.908516,3962.02131,3867.633401,3777.330205,3688.413644
1,83,8452.927202,7590.995498,7357.015872,7126.063002,6902.769498,6692.298364,6497.271311,6319.062252,6154.804831,5998.096976,5849.585009,5700.31723,5553.157503,5408.807284,5267.996855,5136.248863,5007.834307,4887.435298,4771.298264,4659.315174,4550.70962,4441.614264,4335.420726,4234.584825,4135.321314
1,84,9490.496667,8536.514945,8279.683948,8023.677843,7772.279513,7528.857591,7301.284011,7088.386048,6896.454758,6718.900192,6550.151976,6389.727988,6227.370998,6068.3497,5912.353097,5760.560487,5618.235761,5480.218935,5348.238665,5222.943318,5101.472865,4978.859754,4859.650292,4746.162711,4635.566931
1,85,10650.23073,9594.24912,9320.433594,9037.548717,8756.779601,8482.240338,8218.452429,7972.570336,7742.91558,7534.807535,7340.652988,7158.613504,6984.559596,6809.79572,6638.39489,6469.724528,6305.647555,6151.079634,6001.026727,5858.662527,5722.641241,5585.025784,5452.110748,5325.371283,5200.926258
1,86,11916.24225,10762.70836,10468.69578,10167.00646,9856.8399,9551.148494,9251.89808,8967.05751,8696.975666,8449.146512,8224.656014,8016.503154,7818.890746,7629.993711,7440.921718,7254.597564,7073.486864,6896.108585,6730.128791,6567.940619,6413.601055,6259.931229,6111.458986,5969.432959,5830.283249
1,87,13285.58437,12025.71942,11722.23768,11400.93237,11069.49547,10732.17294,10395.96079,10071.48565,9761.680906,9471.898987,9203.935851,8960.465137,8736.497232,8523.198012,8319.974207,8115.391732,7914.950223,7719.557976,7529.128798,7350.330142,7173.75491,7001.931207,6836.66129,6678.29914,6524.079765
1,88,14763.25899,13393.5681,13082.56691,12750.86246,12396.18145,12034.40313,11665.38954,11301.34162,10948.78519,10613.90847,10300.79624,10011.28744,9749.835257,9508.441741,9278.131735,9058.814912,8838.705442,8623.708598,8413.085431,8210.203958,8015.736918,7820.543291,7634.573028,7460.089544,7288.401487
1,89,16346.54266,14870.43954,14554.21958,14213.61567,13850.64879,13464.21531,13066.06824,12665.16533,12272.36002,11887.99246,11527.38117,11190.81952,10879.18821,10596.84301,10336.53973,10088.30515,9852.311954,9616.520024,9384.625189,9159.02828,8939.732272,8725.073469,8516.23212,8320.702737,8130.286819
1,90,18051.93528,16456.79758,16150.76183,15806.45869,15434.62506,15034.41397,14612.73826,14182.95735,13744.24194,13314.4245,12902.9757,12511.45082,12150.11685,11814.22127,11509.38146,11231.28901,10964.79565,10709.9894,10455.87798,10208.44468,9966.351408,9724.854862,9493.300853,9274.353384,9063.259938
1,91,19859.88425,18157.53938,17855.69635,17518.30801,17141.66515,16734.30293,16299.98356,15839.44944,15368.61426,14895.22262,14428.62784,13983.05085,13564.45201,13173.19887,12812.59108,12486.84193,12187.12832,11902.19579,11627.78289,11355.33308,11089.18129,10822.9784,10563.43333,10322.18125,10086.56354
1,92,21784.05177,19946.78829,19663.41571,19328.02705,18959.74822,18551.15335,18108.61537,17634.0225,17135.90726,16624.49698,16108.49646,15606.73318,15126.05042,14674.81829,14256.19467,13871.43144,13523.39295,13201.30026,12895.57079,12602.26415,12310.82148,12016.53727,11732.42441,11462.6212,11203.15345
1,93,23829.03981,21865.77636,21583.89517,21263.29241,20902.82022,20497.09754,20052.54617,19566.021,19055.89047,18515.39567,17959.53757,17407.44756,16860.22289,16346.38833,15863.26227,15413.22142,15001.26143,14628.41866,14284.97122,13958.64356,13642.25143,13320.41324,13007.60913,12710.22817,12422.26424
1,94,26001.55995,23891.87804,23625.21675,23310.72899,22971.24971,22568.71619,22135.95228,21646.04678,21122.29422,20567.19684,19982.37075,19382.79434,18785.89007,18202.88766,17645.68697,17124.55178,16647.42724,16205.84945,15808.29454,15441.87552,15090.36915,14743.41026,14400.90138,14074.82429,13756.88609
1,95,28273.08256,26044.46148,25786.90456,25484.47255,25146.06032,24764.8431,24335.30544,23852.60516,23333.12774,22764.08553,22158.06759,21528.80885,20883.58679,20234.34343,19607.91821,19015.9292,18458.30815,17947.9624,17476.36304,17057.4782,16661.48363,16278.31565,15908.98428,15550.57381,15205.20056
1,96,30693.45942,28298.9954,28051.30863,27761.39714,27442.87269,27064.65563,26655.33107,26179.93406,25661.26095,25100.56315,24487.02474,23831.23511,23150.63477,22457.88456,21765.77854,21094.49419,20456.3336,19862.6663,19316.95755,18819.95576,18368.58372,17940.18026,17528.91053,17144.61058,16765.30041
1,97,33296.58214,30727.68619,30491.5697,30217.90023,29890.10989,29529.09418,29125.09038,28664.93932,28164.88004,27601.49323,26981.74006,26333.66633,25632.09149,24906.67937,24161.26505,23418.58207,22689.68431,22013.40807,21377.79942,20803.84564,20262.74047,19773.5709,19319.29481,18899.69809,18486.97057
1,98,36034.96226,33264.46281,33073.45096,32763.9221,32490.32258,32131.66144,31730.15535,31279.33075,30797.17071,30236.27643,29632.6136,28964.40129,28275.02034,27510.81211,26726.59968,25922.79515,25135.27224,24375.39038,23640.07892,22961.17407,22351.48654,21764.8559,21241.84519,20776.06763,20330.07942
1,99,38770.54169,35838.50932,35665.63467,35438.38136,35111.78862,34747.70642,34345.10063,33946.38404,33432.30404,32900.55249,32314.74408,31646.4392,30938.08242,30232.55814,29416.63905,28565.24249,27716.4955,26866.1773,26037.58001,25283.75012,24563.94181,23899.82629,23275.52484,22741.1585,22245.93663
1,100,41641.93867,38568.58847,38334.94676,38017.32435,37796.77113,37353.1715,37024.01875,36582.91457,36149.12695,35637.82337,35076.16303,34424.37923,33768.84422,32953.52324,32168.02168,31321.90655,30450.59608,29538.67743,28659.66646,27763.8191,26948.25244,26190.72989,25470.80084,24838.54521,24279.52247
1,101,44290.65744,41355.9322,41100.32362,40659.34066,40527.95031,40152.67176,39750,39348.83721,39064.97623,38359.20177,37837.83784,37222.57451,36603.55709,35811.83612,35017.88909,34198.96125,33299.1453,32335.85125,31366.69156,30432.90043,29507.24638,28622.14708,27818.68053,27092.90454,26444.31882
1,102,47697.36842,43788.81988,43930.63584,43681.31868,43386.24339,43080.93995,42602.04082,42323.65145,41717.79141,41222.36671,40767.38609,40245.26198,39494.94949,38823.52941,37903.86131,37095.66414,36187.00668,35263.9672,34263.63246,33224.51941,32202.86248,31250,30341.07058,29480,28741.46683
1,103,50310.55901,46540.8805,46408.83978,46391.75258,46341.46341,45794.39252,45412.84404,44888.88889,44604.31655,43947.36842,43805.30973,42914.97976,42350.74627,41569.28214,40828.40237,39974.61929,39168.49015,38154.13892,37212.98496,36185.49967,35089.6252,34052.31758,32934.60925,31995.91976,31140.1021
1,104,53658.53659,48750,49411.76471,48453.60825,49038.46154,48181.81818,48275.86207,47899.15966,47580.64516,46753.24675,46478.87324,45275.59055,45035.46099,44660.19417,44000,43000,41860.46512,41187.05036,40307.69231,39092.05549,38075.74207,36820.08368,35768.96312,34661.11772,33650
1,105,56097.56098,52631.57895,53658.53659,53488.37209,54000,54716.98113,52631.57895,51666.66667,51612.90323,49230.76923,48780.4878,49122.80702,47482.01439,47096.77419,46783.62573,46428.57143,45175.4386,44000,43119.26606,42010.30928,40786.74948,40000,38543.04636,37378.11484,36396.72429
1,106,63157.89474,61111.11111,61111.11111,57894.73684,60000,56521.73913,58333.33333,55555.55556,55172.41379,53333.33333,54545.45455,54761.90476,51724.13793,50684.93151,48780.4878,49450.54945,47619.04762,47200,46103.8961,45161.29032,44000,43006.99301,41597.79614,40301.72414,39273.3564
1,107,62500,57142.85714,57142.85714,57142.85714,62500,62500,60000,60000,58333.33333,61538.46154,57142.85714,60000,57894.73684,53571.42857,52777.77778,54761.90476,52173.91304,47272.72727,48484.84848,48192.77108,46078.43137,46031.74603,44785.27607,43396.22642,42599.27798
1,108,66666.66667,66666.66667,66666.66667,66666.66667,66666.66667,66666.66667,66666.66667,50000,50000,60000,60000,50000,50000,50000,61538.46154,58823.52941,57894.73684,59090.90909,51724.13793,52941.17647,46511.62791,47272.72727,47058.82353,46666.66667,45000
1,109,50000,100000,100000,100000,100000,100000,100000,100000,50000,50000,50000,50000,66666.66667,66666.66667,50000,60000,57142.85714,50000,55555.55556,57142.85714,56250,56521.73913,51724.13793,47222.22222,45833.33333
1,110,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,50000,50000,66666.66667,50000,50000,50000,57142.85714,60000,57142.85714,57894.73684
1,111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,50000,50000,66666.66667,66666.66667,50000,50000
1,112,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,50000
1,113,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,114,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,115,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,116,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,117,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,118,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
