Sex,Age,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,2030 - 2031,2031 - 2032,2032 - 2033,2033 - 2034,2034 - 2035,2035 - 2036,2036 - 2037,2037 - 2038,2038 - 2039
2,2,14.06834253,13.22710947,12.74238155,12.53604112,12.15967464,12.06269522,11.71962579,11.65406676,11.35116728,11.3140659,11.2813339,11.01481493,11.02129866,10.79254963,10.82648915,10.605766,10.6290365,10.64903322,10.66338979,10.41632263,10.41492026,10.40389969,10.38253303,10.3497718,10.55753859
2,3,10.74936847,10.07169326,9.877018457,9.581136038,9.103618688,9.020699929,8.694329124,8.631402311,8.583268433,8.294760602,8.267723933,8.243848028,7.982627806,7.987290224,8.003331387,7.777522708,7.800262944,7.81731687,7.831991157,7.589527969,7.594446434,7.593408415,7.585421326,7.569898551,7.546116203
2,4,9.41073536,8.463048216,8.075864179,8.074415835,7.998586056,7.776694801,7.706911301,7.392188751,7.338873761,7.29805771,7.015996472,6.993199114,6.973066531,6.963130225,6.718356541,6.731807291,6.752819302,6.772518624,6.535865562,6.548112255,6.556864407,6.561100246,6.560206293,6.553327704,6.5399427
2,5,8.219438458,7.600228007,7.441389754,7.317992382,7.042669776,6.945373352,6.978321972,6.66004931,6.608469771,6.560942959,6.524556801,6.496483778,6.226378676,6.208488494,6.199666458,6.203266144,5.96702473,5.985582229,6.003009008,6.015979947,6.027250707,6.035268601,6.03915638,6.038335885,6.032022499
2,6,7.652895282,7.166871648,6.819051419,6.67821751,6.568615883,6.522895363,6.414582141,6.187384953,6.132445492,6.085069268,6.041413892,6.007975588,5.732915911,5.714399292,5.698019814,5.44254038,5.445692828,5.456511603,5.224660397,5.239847795,5.251128993,5.260955941,5.267924112,5.2713225,5.270608078
2,7,7.134646637,6.609956629,6.379202778,6.295889162,6.167060742,6.06728375,6.006494522,5.886982729,5.914991288,5.607702945,5.31154084,5.27352652,5.244421247,5.221938607,5.20509951,5.190228036,5.182849704,5.185870232,4.948700533,4.964017081,4.978412359,4.989105042,4.998431742,5.005023793,5.008244823
2,8,7.003782042,6.321312304,6.337842497,6.107709456,6.028870755,5.906739959,5.81181348,5.743366412,5.362779248,5.388235173,5.340603336,5.299537426,5.011137253,4.983517017,4.96221275,4.946234432,4.932133838,4.925137904,4.928001892,4.93773516,4.952983801,4.718925873,4.729038537,4.737882865,4.744105449
2,9,6.732174464,6.442745469,6.301999703,6.067355227,6.091262338,5.763219384,5.647151258,5.556803823,5.480557721,5.349677873,5.119069558,5.073901374,5.034980527,4.999100162,4.971624453,4.702900452,4.687804553,4.674460715,4.667845912,4.670542397,4.67975685,4.694186127,4.459927551,4.469440203,4.477790161
2,10,7.14128606,6.70852038,6.422942752,6.283972728,6.051277009,6.075910912,5.999175113,5.878837166,5.785000458,5.716004066,5.336599671,5.106495974,5.061548429,5.022828757,4.987108325,4.959763915,4.938649625,4.922834568,4.663412096,4.65681709,4.659512272,4.66868321,4.683044176,4.696471961,4.706488514
2,11,7.648768548,7.113984529,6.964098678,6.936348333,6.52634162,6.537698001,6.312166954,6.232805249,6.108116098,6.01086524,5.701148286,5.829300345,5.602119638,5.552940345,5.510573413,5.471486715,5.4415644,5.418458966,5.401138904,5.385840381,5.378216999,5.381348003,5.391912377,5.408468432,5.423909332
2,12,8.95605265,8.497396573,8.223171195,8.051675095,7.713032631,7.548888817,7.272417226,7.302560177,7.210988552,7.067103365,6.954870088,6.9222801,6.571929771,6.602805685,6.544996853,6.495193557,6.449228449,6.414051707,6.386903899,6.366541376,6.348555215,6.339577004,6.099286627,6.111229262,6.129960057
2,13,10.43561443,9.81450584,9.636738752,9.328015422,9.134973384,9.018256665,8.827362747,8.505103062,8.540267361,8.433439082,8.265567832,8.134594036,7.891783913,7.816065292,7.599380904,7.533013431,7.475852995,7.423059983,7.382689071,7.351517721,7.32813687,7.307484325,7.29717502,7.301384099,7.315610049
2,14,12.48400487,11.84303644,10.9678213,10.77114091,10.42805768,10.21415212,10.05344198,9.841449076,9.732578684,9.522138973,9.40331046,9.216589862,9.070857721,9.103367508,9.054826977,9.097134655,9.017877943,8.949613675,8.886541087,8.83834664,8.801116764,8.773191078,8.748502426,8.736210135,8.741279966
2,15,14.54058607,13.83408974,13.51458209,13.27927194,12.46432811,12.63241224,12.3755569,12.1263886,11.87154983,11.44068007,11.48770815,11.34483107,11.12029744,10.70709666,10.78957629,10.77861723,10.32514122,10.23551674,10.15827081,10.08691973,10.0323973,10.23391813,10.20157833,10.17293998,10.1586933
2,16,17.32665896,15.56122797,15.1777483,14.88695931,14.69067319,14.4341593,13.98229841,13.69983122,13.39697333,13.11640682,12.88979228,12.69370343,12.53634927,12.52996952,12.3331175,11.97607717,11.99139617,12.04698323,11.94279402,11.85293471,11.76995621,11.70657471,11.65758751,11.62086914,11.82977676
2,17,18.92329102,17.75348479,17.10139499,16.76891044,16.512385,16.07134508,15.79502084,15.30439041,14.99667347,14.90340242,14.59274715,14.3139897,14.12453878,13.95024413,13.67618161,13.69840366,13.62765831,13.43053058,13.49251166,13.37633578,13.03027695,12.93945313,13.11293883,13.05827133,13.49944074
2,18,20.73564286,19.22062945,18.89541653,18.53520817,17.70060804,17.47000513,17.35290162,17.06006707,16.81082176,16.47599974,16.06427784,15.9861352,15.66007842,15.47765138,15.28820079,15.22835997,14.99202963,14.96083037,14.54783958,14.61443287,14.48963929,14.38198303,14.52466227,14.68833638,14.62754318
2,19,22.32715701,20.82516503,20.14938602,19.86294567,18.99989313,18.4752737,18.27209643,18.1823089,17.88081598,17.61104782,17.26604181,17.0842752,16.73679885,16.63029292,16.45447253,16.2560228,16.17851704,16.16193334,16.16586174,15.78487881,15.85607562,15.72271897,15.84772735,15.73986299,15.65760147
2,20,23.08487621,21.6329888,20.97042538,20.31704625,20.05056341,19.73462128,19.25066776,19.07055561,18.72319021,18.41777563,18.1362835,18.04794476,17.8380755,17.72674227,17.34976411,17.17921982,17.21068949,16.88485914,16.85783605,16.64755715,16.76084666,16.5949157,16.45725407,16.3384764,16.46404136
2,21,23.91792528,22.15660869,21.51242219,21.3715835,20.98581482,20.50098329,19.95099218,19.48665822,19.04542199,18.9776806,18.94364806,18.65103132,18.29656411,18.08004755,17.96552561,17.58548892,17.65345561,17.44636406,17.34870672,17.31512172,17.35215387,17.24231595,17.3180302,17.41160083,17.28757887
2,22,24.24550172,22.65198063,21.95063232,21.81574903,21.20789958,20.84719611,20.63144655,20.35117076,19.90669705,19.48124601,19.15566677,18.85397069,18.82726756,18.72884305,18.49965374,18.61764021,18.45258896,18.29124995,18.30896144,17.9723787,18.15153209,18.2116812,17.88885907,17.9661187,17.82153698
2,23,24.89177125,23.09751074,22.72664026,22.28544169,21.69993991,21.3572919,21.25398512,20.813642,20.5394196,20.36151877,19.69177195,19.6418286,19.33740638,19.29761751,18.94279277,19.18870169,18.82131514,19.10680248,18.95016108,18.50873748,18.83794272,18.34702079,18.41169906,18.55546825,18.63448346
2,24,26.00569616,23.84179644,23.46233189,23.12384882,22.7025428,22.38612532,22.06499922,21.49359208,21.54817591,21.28466403,21.12957713,20.48136324,20.45091649,20.13771096,20.07618914,19.95757168,20.16320334,20.01405638,19.80746246,19.88089536,19.65689778,19.74286021,19.67639892,19.55490373,19.49339831
2,25,27.15159259,25.25147197,24.94226631,24.58439747,24.30122619,23.90073683,23.39865458,23.32858907,22.9899079,22.6005001,22.59266637,22.47499657,21.85514612,21.59742913,21.52538073,21.4258665,21.03918916,21.67480257,21.49821773,21.24466927,21.32296663,21.30625072,21.1442759,21.05837683,21.19631096
2,26,29.1498121,27.53667513,26.82802232,26.70792281,26.37219891,25.94276575,25.56136027,25.1147897,25.05716898,24.71280111,24.6071516,24.3787345,24.3111932,24.23235802,24.0327155,23.66993422,23.51197069,23.57650759,23.41281594,23.43472682,23.34222932,23.20467753,23.16722433,23.18996373,23.07566575
2,27,32.01613068,29.9849409,29.56939568,29.30692454,28.91517388,28.60551371,28.04432349,27.90159737,27.52240532,27.48186895,27.36041551,26.84512737,26.64087382,26.389389,26.34702291,26.4552303,26.31126223,26.08184285,25.85871475,26.07835148,25.82225604,25.65338735,25.74688152,25.68160517,25.65993471
2,28,34.77035657,32.64350479,32.43547382,32.28244692,31.79148319,31.56314884,31.27848094,31.04275749,30.90937394,30.15462879,29.90073651,29.76928802,29.55149111,29.37576499,29.20026845,28.95710728,29.12580431,28.94286804,28.88768932,28.61598431,28.96646494,28.65815034,28.61945264,28.72315628,28.40701129
